patch_index,log_spectral_distance_db,spectral_convergence,normalized_rms_difference
337,7.390578162813021e-06,4.6536411239580956e-08,0.0
340,7.990631565411667e-05,4.561047361755964e-08,0.0
341,2.1982044278635592e-05,5.054141852398716e-08,0.0
342,5.4830054931118934e-05,5.580097892467028e-08,0.0
343,5.979333307308402e-05,5.312336611593983e-08,0.0
344,0.00014870096729439815,5.354637670834986e-08,0.0
345,3.5029562027627135e-05,5.118215295730403e-08,0.0
346,1.9112857567454155e-05,5.102277773830651e-08,0.0
347,8.899096708873833e-05,5.326157086518072e-08,0.0
348,4.8756284619116055e-05,5.208709119296159e-08,0.0
349,6.1235321371850215e-06,5.452072898488406e-08,0.0
350,6.423794785548245,0.9957478418343535,1.3287743473048252
351,7.2035031209571295e-06,4.805166135190957e-08,0.0
352,5.535272161309493e-05,5.150487085879138e-08,0.0
353,1.1979779962763634e-05,4.890154415936325e-08,0.0
354,3.0377476853465426e-06,5.235763566711535e-08,0.0
355,7.36858058971251e-05,4.945806757849333e-08,0.0
356,2.8366240520793053e-05,4.998184306057907e-08,0.0
357,6.431807345276575e-06,5.0033258716116506e-08,0.0
358,7.119583397905312e-06,5.0145808281284716e-08,0.0
361,0.0002169370761164266,5.017040157998313e-08,0.0
362,6.490893545467058,1.3076607716736404,1.4099180694774343
363,8.059834612568249e-06,4.9834499728274704e-08,0.0
365,4.22772932607903e-05,5.052625152822318e-08,0.0
366,4.197396514650287e-06,5.031618039483525e-08,0.0
367,0.00025090422406051383,4.9937931209716214e-08,0.0
368,2.1193762108404313e-05,5.0840422152607e-08,0.0
369,1.1112065375409453e-05,5.1820163575443644e-08,0.0
370,7.634015217593489e-05,5.030207154315401e-08,0.0
372,6.86720775415766e-05,4.4158830419589117e-08,0.0
373,9.563569152247885e-05,5.214606776002198e-08,0.0
374,4.734836451614582,0.17643761626541704,0.8593627655645929
375,2.7581451610095202e-05,5.284413166616929e-08,0.0
376,0.00035822138047726063,5.095003809821232e-08,0.0
377,3.791529949549986e-05,5.1481759393785124e-08,0.0
378,0.00012985188458974529,5.0497917992705644e-08,0.0
379,4.927725514424083e-06,4.508660007548158e-08,0.0
380,1.5005513459113893e-05,4.167721341515898e-08,0.0
382,5.738651924278881e-06,5.2261469906145386e-08,0.0
383,3.2513084332644836e-05,5.223700830194403e-08,0.0
384,3.0286161844385673e-05,4.979259443704186e-08,0.0
385,4.830701525341842e-05,5.333392168741991e-08,0.0
386,5.9499137714951535,0.7919876326388725,1.42815028535763
388,4.462320790720078e-05,4.945032471895216e-08,0.0
390,0.0013166322996064459,5.4719362264152596e-08,0.0
391,1.128374200207722e-05,4.695263553836693e-08,0.0
392,11.407333527142384,0.9705541116652259,1.4072514764773507
393,1.2458224966258853e-05,4.918071220906222e-08,0.0
394,1.8923351363547512e-05,4.962463717589708e-08,0.0
395,4.7188813346730904e-05,5.1089762812273805e-08,0.0
397,4.28975538234515e-05,5.0396692594759575e-08,0.0
398,8.19962428476651,1.1623119200202836,1.4282736447342246
399,4.416947057532596,0.041154767697880776,0.25135350528788786
400,1.0996155950759027e-05,5.303464712570596e-08,0.0
401,6.588943048067238e-05,5.09558752456749e-08,0.0
402,5.791784117606215e-06,5.592128000427508e-08,0.0
403,0.00021964068554496195,5.294673232046487e-08,0.0
404,1.2306504023418398e-05,5.195167155557375e-08,0.0
405,7.550644096730766e-05,4.918705753891644e-08,0.0
407,7.052535107816187e-05,5.408210312776072e-08,0.0
408,0.00012100766149886423,5.829011747870893e-08,0.0
409,9.571797561070127e-05,4.996019012295456e-08,0.0
411,4.2917781605519924e-06,4.7356845640940235e-08,0.0
412,3.84702461637955e-05,4.989239280303848e-08,0.0
413,3.734902480149132e-05,5.870651433317511e-08,0.0
414,13.318575854101018,1.3834396062468555,1.416610274171168
415,4.058301986985209e-05,4.982153439942305e-08,0.0
416,2.693742854703605e-05,4.844750107761692e-08,0.0
417,0.00021779210066110997,5.037919382675445e-08,0.0
418,4.67150903249592e-05,5.2589885458887315e-08,0.0
419,7.696168038534687e-05,3.9881419531302484e-08,0.0
420,0.0003280872353918475,5.00152053826176e-08,0.0
421,7.695742704063486e-06,4.996738193417319e-08,0.0
423,4.524866113111687,0.009686327256352193,0.17239439605766388
424,6.627527856067414e-06,4.912333547632163e-08,0.0
425,0.0001283278296716146,5.0507263830890694e-08,0.0
426,10.330683250009216,1.3854287743609248,1.4148208946009404
427,4.0212713572889295e-05,5.126953940744815e-08,0.0
428,9.198723128502092e-05,4.8973097707724614e-08,0.0
429,0.00017226236386379642,5.4508392726137404e-08,0.0
430,5.961035120311241e-05,4.908347132057204e-08,0.0
431,8.047671650019092e-05,5.425207071701485e-08,0.0
432,8.847636157306605,0.3649369062993563,1.317227616125501
433,4.9505069732242836e-05,4.9623872890413264e-08,0.0
434,8.327813755084245e-05,5.69982453173058e-08,0.0
435,0.0001309879166001662,4.623486019688849e-08,0.0
436,4.541046594321734e-05,4.477104663772037e-08,0.0
437,3.249846523164164e-05,5.427393999252819e-08,0.0
438,4.6306137916963034e-05,5.119271888054848e-08,0.0
439,7.542429311641147e-05,5.469672328709172e-08,0.0
440,4.628315809835003e-05,4.8789549471412124e-08,0.0
441,0.00017563738121160265,4.9256353197709445e-08,0.0
442,0.00015757780100943326,5.366941547068284e-08,0.0
443,2.4342024723223074e-05,5.145958466997555e-08,0.0
444,11.014712262654491,1.3997862612362653,1.4142004587344492
445,7.587668700424623e-05,5.050062744207268e-08,0.0
446,8.163560562617776e-06,5.309424728747672e-08,0.0
447,1.0066143239068218e-05,5.222256340982403e-08,0.0
448,2.7750765491985623e-05,5.080429377275605e-08,0.0
449,6.255675821106071e-05,5.0045636918993816e-08,0.0
450,5.582810888774577e-06,5.0351386129675274e-08,0.0
451,9.473578815088755e-06,5.387571263108219e-08,0.0
452,0.00010078950214671512,5.2633148622246404e-08,0.0
455,0.0003243387163039409,5.260702425968331e-08,0.0
456,10.854373437198795,1.0185090495042843,1.4057622924749382
457,10.984583243657505,0.19417799160913893,1.4033507747403633
458,8.884709888348567e-05,5.1143615705529235e-08,0.0
459,4.341813234671947e-05,5.152081202641685e-08,0.0
460,0.00010394276885138444,5.1847881782680844e-08,0.0
461,5.492284736459256,0.39514633535301996,1.393313655458614
462,6.502664069770756e-06,5.0416576471503925e-08,0.0
463,4.133132569220926e-05,5.0467420471110685e-08,0.0
464,3.9884416428271335e-05,4.993749206769389e-08,0.0
465,5.749310017110942e-06,5.112152455379134e-08,0.0
466,2.6754583142103102e-05,5.3058001108528824e-08,0.0
468,0.00019075298621959083,5.1279198480773984e-08,0.0
469,1.43821085470029e-05,4.95274933352375e-08,0.0
471,0.00010324310409648137,5.018402531659463e-08,0.0
472,0.00013886964955937763,4.462544349303341e-08,0.0
473,6.808931185797913e-06,5.03958727196859e-08,0.0
474,1.884762013121773e-05,5.193496842810825e-08,0.0
476,0.0001452028932684359,5.4075819382394797e-08,0.0
477,8.345394058360032,0.888102086633097,1.4543360262421818
478,8.342215264766694e-06,5.0346670113203606e-08,0.0
479,2.9077610141324786e-05,5.136721210925651e-08,0.0
480,3.579348542976104e-05,5.191265031234422e-08,0.0
481,0.00014683207241202717,4.592734175151739e-08,0.0
482,4.0551005876529296e-05,4.717530451146873e-08,0.0
483,1.5241691700251638e-05,4.9204973089316254e-08,0.0
484,1.888223478889926e-05,5.140515521571206e-08,0.0
485,0.00014606995173194952,5.494431842413944e-08,0.0
486,7.7849159794109e-05,4.765809274976786e-08,0.0
487,3.685002822313629e-05,4.9114548046728453e-08,0.0
488,4.9814408986276094e-05,4.7749045861483525e-08,0.0
489,4.5146490589278854e-06,5.2461320390981215e-08,0.0
