patch_index,reuse_vs_pedalboard__log_spectral_distance_db,reuse_vs_pedalboard__spectral_convergence,reuse_vs_pedalboard__normalized_rms_difference,reload_vs_pedalboard__log_spectral_distance_db,reload_vs_pedalboard__spectral_convergence,reload_vs_pedalboard__normalized_rms_difference,reuse_vs_reload__log_spectral_distance_db,reuse_vs_reload__spectral_convergence,reuse_vs_reload__normalized_rms_difference
2448,9.27260302447133,0.848066275544415,1.4134949751107868,9.869061308547124,1.406234201204851,1.4145201039499269,9.964073181152344,1.4087787866592407,1.4140963554382324
2449,4.1489598862879326e-05,4.990578815738633e-08,0.0,4.1489598862879326e-05,4.990578815738633e-08,0.0,0.0,0.0,0.0
2452,8.406942218063303,1.1996021387816644,1.4092470227419713,7.886528128417425,1.0396368147940576,1.406225219171589,8.079607963562012,1.1854963302612305,1.3921412229537964
2453,0.00010007814585345033,5.1587567963887226e-08,0.0,0.00010007814585345033,5.1587567963887226e-08,0.0,0.0,0.0,0.0
2454,1.1003009529508694e-05,4.72626256537778e-08,0.0,1.1003009529508694e-05,4.72626256537778e-08,0.0,0.0,0.0,0.0
2455,7.876933636832755e-05,5.2245781046616236e-08,0.0,7.876933636832755e-05,5.2245781046616236e-08,0.0,0.0,0.0,0.0
2456,0.00023236606705944412,4.938756106003547e-08,0.0,0.00023236606705944412,4.938756106003547e-08,0.0,0.0,0.0,0.0
2457,2.4703735064262537e-05,5.066357776083013e-08,0.0,2.4703735064262537e-05,5.066357776083013e-08,0.0,0.0,0.0,0.0
2458,6.202786253173955e-06,5.554593871359902e-08,0.0,6.202786253173955e-06,5.554593871359902e-08,0.0,0.0,0.0,0.0
2459,0.00011112328479797329,5.218735622112893e-08,0.0,0.00011112328479797329,5.218735622112893e-08,0.0,0.0,0.0,0.0
2460,0.00038950956180807853,5.028042323871154e-08,0.0,0.00038950956180807853,5.028042323871154e-08,0.0,0.0,0.0,0.0
2461,6.400727644544436,1.0125150838314483,1.4628742443254894,6.5137047855520365,1.1107511464264872,1.3909421334049112,6.545052528381348,0.9405543208122253,1.3464058637619019
2462,8.4964068056891,0.8509191954298636,1.583747137410375,9.388655098301017,1.321256440874729,1.3996362768722068,8.978758811950684,1.268391728401184,1.4047374725341797
2463,5.861983978639157e-05,5.0342804876010844e-08,0.0,5.861983978639157e-05,5.0342804876010844e-08,0.0,0.0,0.0,0.0
2464,5.7669638717047405e-05,5.0256083557910705e-08,0.0,5.7669638717047405e-05,5.0256083557910705e-08,0.0,0.0,0.0,0.0
2466,0.00021165313696171838,5.429610856147443e-08,0.0,0.00021165313696171838,5.429610856147443e-08,0.0,0.0,0.0,0.0
2467,4.203853079436783e-05,4.292242917215503e-08,0.0,4.203853079436783e-05,4.292242917215503e-08,0.0,0.0,0.0,0.0
2468,2.2942587944223473e-05,4.978536915812492e-08,0.0,2.2942587944223473e-05,4.978536915812492e-08,0.0,0.0,0.0,0.0
2469,1.7878808306898225e-05,4.8138642917115127e-08,0.0,1.7878808306898225e-05,4.8138642917115127e-08,0.0,0.0,0.0,0.0
2470,3.7144680532033194e-05,5.173981922493311e-08,0.0,3.7144680532033194e-05,5.173981922493311e-08,0.0,0.0,0.0,0.0
2471,6.855283491586626e-05,6.80407053043898e-08,0.0,6.855283491586626e-05,6.80407053043898e-08,0.0,0.0,0.0,0.0
2472,0.00019577061557298216,4.8489073722069043e-08,0.0,0.00019577061557298216,4.8489073722069043e-08,0.0,0.0,0.0,0.0
2473,7.299617924301836e-06,5.704242844825944e-08,0.0,7.299617924301836e-06,5.704242844825944e-08,0.0,0.0,0.0,0.0
2474,7.887614247510476,0.8783595496869995,1.042506789448934,9.421611700644672,0.8977052886119952,1.4247932887981394,10.305693626403809,1.1781656742095947,1.4241831302642822
2476,0.00010424510359729348,5.452857573346969e-08,0.0,0.00010424510359729348,5.452857573346969e-08,0.0,0.0,0.0,0.0
2477,5.445744917621487e-05,4.848173183374282e-08,0.0,5.445744917621487e-05,4.848173183374282e-08,0.0,0.0,0.0,0.0
2478,4.141952701723201e-05,5.3125713843582386e-08,0.0,4.141952701723201e-05,5.3125713843582386e-08,0.0,0.0,0.0,0.0
2479,2.2789551141434216e-05,4.9484656267297114e-08,0.0,2.2789551141434216e-05,4.9484656267297114e-08,0.0,0.0,0.0,0.0
2480,5.907805676307475,1.2026948622991456,1.4147664460755367,5.924937090448403,1.2074976706558065,1.4225763389654535,5.931743621826172,1.1936779022216797,1.4251065254211426
2481,1.892416250117391e-05,5.389166396950088e-08,0.0,1.892416250117391e-05,5.389166396950088e-08,0.0,0.0,0.0,0.0
2482,5.960067728453659e-05,4.8515040125973944e-08,0.0,5.960067728453659e-05,4.8515040125973944e-08,0.0,0.0,0.0,0.0
2483,1.6198426029504172e-05,5.710445325527319e-08,0.0,1.6198426029504172e-05,5.710445325527319e-08,0.0,0.0,0.0,0.0
2484,2.539110654150307e-05,5.016223036464324e-08,0.0,2.539110654150307e-05,5.016223036464324e-08,0.0,0.0,0.0,0.0
2485,1.0943746928505034e-05,5.349181974439733e-08,0.0,1.0943746928505034e-05,5.349181974439733e-08,0.0,0.0,0.0,0.0
2486,3.560409113807896e-05,4.7229470942391794e-08,0.0,3.560409113807896e-05,4.7229470942391794e-08,0.0,0.0,0.0,0.0
2487,1.6531311972649914e-05,5.0401249853981224e-08,0.0,1.6531311972649914e-05,5.0401249853981224e-08,0.0,0.0,0.0,0.0
2488,2.879138811643613e-05,4.6434985970579145e-08,0.0,2.879138811643613e-05,4.6434985970579145e-08,0.0,0.0,0.0,0.0
2489,2.8600087094542347e-05,4.812036233173216e-08,0.0,2.8600087094542347e-05,4.812036233173216e-08,0.0,0.0,0.0,0.0
2490,0.00010551792562524449,4.8641379785490925e-08,0.0,0.00010551792562524449,4.8641379785490925e-08,0.0,0.0,0.0,0.0
2491,4.873819345184133e-05,5.0285302467686476e-08,0.0,4.873819345184133e-05,5.0285302467686476e-08,0.0,0.0,0.0,0.0
2492,6.343053977528832e-05,4.7172385323278715e-08,0.0,6.343053977528832e-05,4.7172385323278715e-08,0.0,0.0,0.0,0.0
2493,5.995761870015082e-05,5.0617257984328294e-08,0.0,5.995761870015082e-05,5.0617257984328294e-08,0.0,0.0,0.0,0.0
2494,5.7999929691218775,0.6068217339305018,1.2740485277745657,6.513807868997816,0.7098069105403226,1.5956523609605437,6.471493721008301,0.7635998129844666,1.340842843055725
2495,3.9018736736601005e-05,5.27438785489705e-08,0.0,3.9018736736601005e-05,5.27438785489705e-08,0.0,0.0,0.0,0.0
2498,1.7521972634455148e-05,5.345949825597107e-08,0.0,1.7521972634455148e-05,5.345949825597107e-08,0.0,0.0,0.0,0.0
2499,0.00014380689633280348,6.02158655728707e-08,0.0,0.00014380689633280348,6.02158655728707e-08,0.0,0.0,0.0,0.0
2500,6.299307874659303,0.6454538670576805,1.138276971573822,6.64110533369545,0.8661617911704066,1.2612771287764128,6.397249698638916,0.8871806859970093,1.2746412754058838
