patch_index,cross_engine_lsd_db,context_leakage_lsd_db
503,8.055551731665893e-05,0.0
505,5.121990398446875e-06,0.0
506,0.0001638737965405,0.0
507,2.650478948241657e-05,0.0
508,8.219844429586852e-05,0.0
509,1.3048835910494472e-05,0.0
510,0.0002604063307153,0.0
511,6.380723098915113e-05,0.0
514,8.675855351606534,8.09759957875039
516,6.405172213383837,5.9182327839847835
517,9.209067946754384e-05,0.0
519,0.0001329924668569,0.0
521,3.248522951577555e-05,0.0
522,0.0002559978546523,0.0
524,1.0068300954189732e-05,0.0
525,6.4495011658524655e-06,0.0
526,9.422882369566194e-06,0.0
527,7.990112250970146,9.309797726910189
529,1.020186056459502e-05,0.0
530,9.325394371363712,9.625874611474522
531,7.81644570347878e-05,0.0
532,2.5644482307668606e-05,0.0
534,9.268898865557489,8.66270117714891
535,1.7229566029033493e-05,0.0
536,1.019483678294682e-05,0.0
537,8.541044096315716,8.651512539498079
538,1.2552106445535928e-05,0.0
539,6.60873379811386e-05,0.0
540,1.787509025802133e-05,0.0
541,8.816241231260225e-05,0.0
542,0.0001009472295224,0.0
543,2.394123403863285e-05,0.0
544,5.208935089571557e-05,0.0
547,9.511415662912515e-05,0.0
548,9.280570334514596e-05,0.0
549,0.0001190038352798,0.0
550,2.8439574137458973e-05,0.0
551,6.469000099278609e-05,0.0
552,7.775254063411994,8.464827817493449
554,1.5128947460160744e-05,0.0
555,4.8925392802372826e-05,0.0
556,2.703758816190949e-05,0.0
557,4.992360678147235e-06,0.0
558,1.313561021716638e-05,0.0
559,6.459459031823288,6.567311259925766
560,9.603213737303816,8.339644403722879
561,9.732111435196264e-05,0.0
562,6.378672494941026e-05,0.0
563,1.5207135332070852e-05,0.0
564,4.62918787163237e-06,0.0
565,0.0002409557662546,0.0
566,4.2217546062599515e-05,0.0
567,2.878529199440955e-05,0.0
568,1.299150103952732e-05,0.0
569,4.747762055307139e-05,0.0
570,4.64319760885564e-06,0.0
572,4.696971845693769e-05,0.0
573,4.2469493162151954e-05,0.0
574,2.0747925272354666e-05,0.0
575,6.716820449947716e-06,0.0
576,8.732175362319846e-05,0.0
577,2.4106207236235953e-05,0.0
578,7.342545674068859e-06,0.0
579,8.248493376612897,8.38957709267105
580,0.0005105761345968,0.0
581,0.0003804026790814,0.0
582,3.551366898910974e-05,0.0
583,5.328759784793531,5.903879212694895
584,7.22924533816269,7.283592465408852
585,5.689607133334834e-06,0.0
587,5.763831850264794,5.956114513096531
588,6.862194017422793e-06,0.0
589,5.924038418889502,5.83023065136902
590,4.404949868587842e-06,0.0
591,0.0001094066715792,0.0
594,5.763156050569647,5.818250842306614
595,5.6168077758094e-05,0.0
596,3.0527547460587085e-05,0.0
597,4.448360904246732e-05,0.0
599,7.905296064106031e-06,0.0
600,3.563264257238063e-06,0.0
601,0.0001019377772157,0.0
602,8.74519874150799e-05,0.0
603,6.338724485216714,7.553811598018105
604,4.7804599545518915e-05,0.0
605,2.683457298499429e-05,0.0
607,8.582186921701467e-06,0.0
608,2.9676932824223212e-05,0.0
609,0.0001888731479734,0.0
610,6.521263154994416e-05,0.0
611,9.36526107722428,10.297589363711815
613,6.987992212750063e-05,0.0
614,3.847230074968912e-05,0.0
615,6.808515387159958e-05,0.0
616,4.210102333785567e-05,0.0
617,5.617033253200602e-05,0.0
618,10.247653808718052,9.938790542407094
619,0.000148695546,0.0
620,4.962105088032403e-05,0.0
621,6.329623996312976e-06,0.0
622,6.0326885359899065e-06,0.0
624,2.921145277296619e-05,0.0
625,8.940496450947747e-05,0.0
626,7.134416429855497,7.498695345075015
627,1.2852496726118496e-05,0.0
628,6.009326213692839,7.398930733698026
629,5.045974041899212e-05,0.0
630,6.947670395257995e-06,0.0
631,2.6949028287324755e-05,0.0
632,9.598623999213295,10.016960811132659
633,3.480076475901535e-06,0.0
634,3.9640681178603656e-05,0.0
635,2.1501960424494555e-05,0.0
636,3.595403890064211e-05,0.0
637,0.0001217208235722,0.0
638,12.465265284123545,12.57948223912557
639,2.950618441068366e-05,0.0
640,0.0002849464127964,0.0
641,3.893250035144567e-05,0.0
642,0.0001020038925894,0.0
644,9.295568698899674e-05,0.0
645,0.0005750506741088,0.0
646,2.163759318822097e-05,0.0
649,0.000396441664316,0.0
650,1.321341897125163e-05,0.0
652,10.326223997857849,10.657713159919435
653,5.470940140862449e-05,0.0
655,7.537069930834203e-05,0.0
656,0.0002106622498967,0.0
657,0.0004600182082567,0.0
658,3.2119092932922536e-05,0.0
659,5.9518259534547094e-05,0.0
662,4.5006326220226934e-05,0.0
663,3.9942656782723115e-05,0.0
664,1.618663807092746e-05,0.0
665,5.725658651541742e-05,0.0
666,1.3619189891789328e-05,0.0
667,8.702142334477786,8.523637403265779
669,0.0001073817257059,0.0
670,1.21405552532577e-05,0.0
671,1.112076712633056e-05,0.0
672,6.309578121069969e-05,0.0
673,8.552654424967227e-06,0.0
674,1.6436559952231748e-05,0.0
675,6.280392663188102e-06,0.0
677,6.124955441096172e-05,0.0
678,3.6515027701269296e-05,0.0
679,3.371440627959177e-05,0.0
680,0.000218639969589,0.0
683,4.305998623695843e-05,0.0
684,4.139375460060717e-05,0.0
686,8.193808211850724e-06,0.0
687,2.5491602972973977e-05,0.0
688,0.000130769730247,0.0
689,4.6873391124297775e-05,0.0
690,2.173865095148041e-05,0.0
691,1.6974196018388496e-05,0.0
692,6.9612331506779626,0.0
693,7.435541381640457,7.429983911746194
694,6.90154711101437e-05,0.0
697,5.104851170283644,6.349925960435606
698,1.566823319941955e-05,0.0
699,0.0001795619575609,0.0
700,3.8729103127558896e-05,0.0
701,0.000125834346848,0.0
702,1.4822106593305264e-05,0.0
